facility,latitude,longitude,keph_level,county,subcounty,ward,facility_status,facility_type,facility_owner
Kisiwani VCT,-4.0476424,39.6678688,Level 2,Mombasa,Mvita,Tononoka,open,other,Faith Based
Lyons Medical Centre Kajiado (Kajiado),-1.8422367,36.7857032,Level 3,Kajiado,NA,Eldamat,open,Nursing Home,Private
Modagashe Medical Service (Garissa),0.7299724,39.1734711,Level 2,Isiolo,NA,Modogashe,open,Medical Center,Private
Kims Medical Clinic,-0.4191409,37.1560847,Level 2,Nyeri,Mathira East,Magutu,open,Medical Clinic,Private
Alms House Dispensary,-4.0374578,39.6569102,Level 2,Mombasa,Mvita,Tudor,open,Dispensary,Government/Public Entity
Amazing Grace Medical Clinic,-0.1330647,36.3792091,Level 2,Nyandarua,Oljoroorok,Weru,open,Medical Center,Private
St Mark Medical Clinic,-1.1700439,36.8270745,Level 2,Kiambu,Kiambu Town,Township,open,Medical Clinic,Private
Afya Bora Medical Clinic,1.0131534,34.9865935,Level 2,Trans Nzoia,Saboti,Matisi,open,Medical Clinic,Private
Viebe Medical Clinic,1.0286982,35.0082172,Level 2,Trans Nzoia,Saboti,Matisi,open,Medical Center,Private
Marambach Medical Clinic,1.0039347,34.9165828,Level 2,Trans Nzoia,Saboti,Kinyoro,open,Medical Clinic,Private
St Jude Thaddeus Medical Clinic,1.0042429,34.9191429,Level 2,Trans Nzoia,Saboti,Kinyoro,open,Nursing Home,Private
Ilkilorit Dispensary,-1.3449659,36.4964837,Level 2,Kajiado,Kajiado West,Ewuaso Oo Nkidong'i,open,Dispensary,Government/Public Entity
Jawabu Modern Medical Laboratory,1.0147101,35.0028536,Level 2,Trans Nzoia,Saboti,Matisi,open,other,Private
Causqurow Medical Clinic,-0.4717276,39.6541927,Level 2,Garissa,Garissa,Iftin,open,Medical Center,Private
Hope Worldwide Kenya Marps (Tharaka nithi county),-0.3303763,37.6565549,Level 2,Tharaka Nithi,NA,Karingani,open,Dispensary,Government/Public Entity
Pipeline (PCEA) Medical Clinic,-1.31701,36.8928179,Level 2,Nairobi,Embakasi South,Pipeline,open,Medical Clinic,Faith Based
Karatina University Dispensary,-0.4817322,37.1278428,Level 2,Nyeri,Mathira East,Karatina Town,open,Medical Clinic,Private
Bevans Medical Clinic,-0.4801558,37.125447,Level 2,Nyeri,Mathira East,Karatina Town,open,Medical Clinic,Private
Boyne Healthcare (Nairobi),-1.2965737,36.7840432,Level 2,Nairobi,NA,Dagoretti,open,Medical Center,Private
Seguton Dispensary Koibatek (Baringo),0.0471224,35.5640933,Level 2,Baringo,NA,Lembus,open,Dispensary,Government/Public Entity
Cairo Family Hospital Ruiru,-1.1464444,36.9717848,Level 2,Kiambu,Juja,Theta,open,Medical Center,Private
Cordis Maria Dispensary,-1.2149304,36.9299086,Level 2,Kiambu,Ruiru,Kiuu,open,Health Center,Faith Based
Ilparakuo Dispensary,-1.8878143,36.311653,Level 2,Kajiado,Kajiado West,Magadi,open,Dispensary,Government/Public Entity
Kyaimu Dispensary,-1.4824464,37.5560891,Level 2,Machakos,Mwala,Muthetheni,open,Dispensary,Government/Public Entity
Kamacharia Dispensary,-0.6055433,36.99446,Level 2,Muranga,Mathioya,Kamacharia,open,Dispensary,Government/Public Entity
Turkland Medical Care limited,3.709227,34.8618539,Level 3,Turkana,Turkana West,Kakuma,open,Medical Center,Private
Endarasha Medical Clinic,-0.3063548,36.7968734,Level 2,Nyeri,Kieni West,Mwiyogo/Endarasha,open,Medical Clinic,Private
Rau Dispensary,-0.6180796,37.0303723,Level 2,Muranga,Mathioya,Kamacharia,open,Dispensary,Government/Public Entity
Kapsagawat Dispensary,0.055365,34.9299617,Level 2,Nandi,Aldai,Kobujoi,open,Dispensary,Government/Public Entity
Olesere Dispensary,-1.3382626,35.3492347,Level 2,Narok,Narok West,Mara,open,Dispensary,Government/Public Entity
Sunview Maternity and Nursing Home,-1.1718151,36.759202,Level 3,Kiambu,Kiambaa,Karuri,open,Nursing Home,Private
Kasarani Dispensary (Gilgil),-0.7108782,36.2952616,Level 2,Nakuru,Gilgil,Malewa West,open,Dispensary,Government/Public Entity
St John's Clinic (Dr Ruto MC),1.0143366,35.0024327,Level 2,Trans Nzoia,Saboti,Matisi,open,Medical Center,Private
Kihome Clinic (Nyeri),-0.5234767,36.8798183,Level 2,Nyeri,NA,Mahiga,open,Medical Clinic,Private
Mabariri Medical Clinic (Nyamira North),-0.5229095,34.9386601,Level 2,Nyamira,Nyamira North,Bomwagamo,open,Medical Clinic,Private
Norident Dental Clinic Kitale,1.0160668,35.0014774,Level 2,Trans Nzoia,Saboti,Matisi,open,Stand-Alone service,Private
Cheptantan Dispensary,1.0171577,34.825342,Level 2,Trans Nzoia,Endebess,Endebess,open,Dispensary,Government/Public Entity
World Reach Kenya Medical Clinic Kenya - Muthetheni (Machakos),-1.4981432,37.5132278,Level 2,Machakos,NA,Muthetheni,open,Medical Clinic,Faith Based
Keiyo Dispensary,1.2298674,35.014733,Level 2,Trans Nzoia,Kwanza,Keiyo,open,Dispensary,Government/Public Entity
Bwayi Dispensary,1.129456,35.0465113,Level 2,Trans Nzoia,Kwanza,Kwanza,open,Dispensary,Government/Public Entity
Sarara Chemist,1.0206234,35.0004491,Level 2,Trans Nzoia,Saboti,Matisi,open,Medical Clinic,Private
Bodykraft Healthcare Ltd (Nairobi),-1.2611094,36.8216741,Level 3,Nairobi,NA,Highridge,open,Medical Center,Private
Vision Dental  Clinic,1.015759,35.0038823,Level 2,Trans Nzoia,Saboti,Matisi,open,Medical Clinic,Private
Ninami Medical Clinic,1.0240924,34.9981042,Level 2,Trans Nzoia,Saboti,Matisi,open,Medical Clinic,Private
Cherangany Nursing Home Outpatient Clinic,1.0143076,35.0034893,Level 2,Trans Nzoia,Saboti,Matisi,open,Medical Center,Private
NYERI TECHNICAL DISPENSARY,-0.4271636,36.9452307,Level 2,Nyeri,Nyeri Central,Kamakwa/Mukaro,open,Medical Center,Private
Mt Kenya Junior Academy,-0.4146835,36.9838221,Level 2,Nyeri,Nyeri Central,Gatitu/Muruguru,open,other,Private
Nyeri Good Shepherd Primary Clinic,-0.4124765,36.9586946,Level 2,Nyeri,Nyeri Central,Rware,open,Dispensary,Private
Kirimara Optical,-0.4252482,36.9560276,Level 2,Nyeri,Nyeri Central,Kamakwa/Mukaro,open,Medical Clinic,Private
Kangubiri Girls Dispensary,-0.4896702,37.026774,Level 2,Nyeri,Tetu,Aguthi-gaaki,open,Dispensary,Government/Public Entity
Nyeri Endoscopy & Surgicare Centre,-0.4209691,36.9491071,Level 2,Nyeri,Nyeri Central,Kamakwa/Mukaro,open,Medical Clinic,Private
Kagumo Teachers College Dispensary,-0.4677211,36.9994001,Level 2,Nyeri,Tetu,Aguthi-gaaki,open,Dispensary,Government/Public Entity
Kamwenja Teachers Training College,-0.397573,36.9191108,Level 2,Nyeri,Nyeri Central,Kiganjo/Mathari,open,Dispensary,Faith Based
Kagumo Boys High School Clinic,-0.4049856,37.0145997,Level 2,Nyeri,Nyeri Central,Kiganjo/Mathari,open,Medical Clinic,Private
Tabby Plaza Ent & Orthopaedic Clinic,-0.4260031,36.9552536,Level 2,Nyeri,Nyeri Central,Kamakwa/Mukaro,open,Medical Clinic,Private
Mountain  HealthCare Services,-0.4277931,36.9546002,Level 2,Nyeri,Nyeri Central,Kamakwa/Mukaro,open,Medical Clinic,Private
Nyeri Primary School Dispensary,-0.4110612,36.956211,Level 2,Nyeri,Nyeri Central,Rware,open,Dispensary,Government/Public Entity
Jamii Medical Clinic,-0.5427368,36.5647659,Level 2,Nyandarua,Kinangop,North Kinangop,open,Medical Clinic,Private
Miharate Medical Clinic,-0.3998015,36.4919564,Level 2,Nyandarua,Kipipiri,Kipipiri,open,Medical Clinic,Private
Kipipiri Medical Clinic,-0.4712713,36.5078685,Level 2,Nyandarua,Kipipiri,Githioro,open,Medical Clinic,Private
Thuti Medical Clinic,-0.4260469,36.9588305,Level 2,Nyeri,Nyeri Central,Rware,open,Medical Clinic,Private
Rvist Dispensary (Nakuru),-0.2850639,36.0038102,Level 2,Nakuru,NA,Mosop,open,Dispensary,Private
Igwamiti Medical Clinic,-0.0399351,36.2908823,Level 2,Nyandarua,Oljoroorok,Gathanji,open,Medical Clinic,Private
Haraka Medical Clinic,-0.7716456,36.6000426,Level 2,Nyandarua,Kinangop,Nyakio,open,Medical Clinic,Private
Githabai Medical Clinic,-0.7332902,36.5694015,Level 2,Nyandarua,Kinangop,Githabai,open,Medical Clinic,Private
Remedy Medical & Diagnostic Center,-0.4248646,36.9354138,Level 2,Nyeri,Nyeri Central,Rware,open,Medical Center,Private
Fly over Medical Clinic,-0.877703,36.5640239,Level 2,Nyandarua,Kinangop,Magumu,open,Medical Clinic,Private
"Philadelphia Nursing Clinic-,Waithaka (Nairobi)",-1.2810767,36.713354,Level 2,Nairobi,NA,Waithaka,open,Medical Center,Private
Fly over Health Clinic,-0.8782327,36.5713223,Level 2,Nyandarua,Kinangop,Magumu,open,Medical Clinic,Private
Calcare Medical Laboratory Services (Machakos),-1.4736435,37.3103758,Level 2,Machakos,NA,Kaewa,open,Stand-Alone service,Private
Kagumo Vision Medical  Clinic,-0.4752701,37.2370278,Level 2,Kirinyaga,Kirinyaga Central,Kerugoya,open,Medical Center,Private
Hebron CFW Clinic (Kutus),-0.5757334,37.3271077,Level 2,Kirinyaga,Kirinyaga South,Nyangati,open,Medical Clinic,Private
Agro Chemical Dispensary (Muhoroni),-0.1515764,35.178541,Level 2,Kisumu,Muhoroni,Muhoroni Koru,open,Dispensary,Government/Public Entity
Airborne No Twist Huduma Bora Clinic,-0.4350008,37.2380148,Level 2,Kirinyaga,Kirinyaga East,Kabare,open,Medical Clinic,Private
Sunset Medical Clinic,-1.2215269,36.7792038,Level 2,Kiambu,Kiambaa,Kihara,open,Medical Clinic,Private
Honi (PCEA) Dispensary,-0.3454758,36.9828443,Level 2,Nyeri,Kieni West,Mweiga,open,Medical Center,Faith Based
Ngurubani Medical Services,-0.683332,37.3559661,Level 2,Kirinyaga,Kirinyaga South,Tebere,open,Medical Center,Private
Ndenderu Medical Services,-1.19484,36.7427117,Level 2,Kiambu,Kiambaa,Ndenderu,open,Health Center,Private
Medical Plaza Clinic Banana,-1.1744499,36.7583275,Level 2,Kiambu,Kiambaa,Karuri,open,Medical Clinic,Private
Elite Clinic,-0.608224,36.5778845,Level 2,Nyandarua,Kinangop,Engineer,open,Medical Clinic,Private
St Lukes Medical Clinic (Nyandarua),-0.4719645,36.5089284,Level 2,Nyandarua,Kipipiri,Githioro,open,Medical Clinic,Private
Destiny Heart Centre (Nyeri),-0.4846064,37.1262322,Level 3,Nyeri,NA,Karatina,open,Medical Center,Private
CFW Mwea Clinic,-0.6854509,37.3561385,Level 2,Kirinyaga,Kirinyaga South,Tebere,open,Medical Clinic,Private
Mwea County Medical Center,-0.6673922,37.3624681,Level 2,Kirinyaga,Kirinyaga South,Tebere,open,Medical Center,Private
Young Health And Wellness Centre Cfk (Nairobi),-1.3143148,36.7787802,Level 2,Nairobi,NA,Sarang'ombe,open,Medical Clinic,Non-Governmental Organization
cheboet Dispensary,-0.7765059,35.1770877,Level 2,Bomet,Sotik,Kipsonoi,open,Dispensary,Government/Public Entity
Centre for Heart Disease and Diabetes,1.0273792,34.9997495,Level 2,Trans Nzoia,Saboti,Tuwani,open,Medical Center,Private
Pala Masogo Health centre,-0.6401819,34.52996,Level 3,Homa Bay,Homa Bay Town,Homa Bay East,open,Health Center,Government/Public Entity
Nyarut Health Centre,-0.4717351,34.5377838,Level 3,Homa Bay,Rangwe,Kochia,open,Health Center,Government/Public Entity
Koduogo Health Centre,-0.5728921,34.4369229,Level 3,Homa Bay,Homa Bay Town,Homa Bay West,open,Health Center,Government/Public Entity
Nyawawa Health Centre,-0.6477,34.6150817,Level 2,Homa Bay,Rangwe,West Gem,open,Health Center,Government/Public Entity
Nyawita Health Centre,-0.5730584,34.6429059,Level 2,Homa Bay,Rangwe,Kagan,open,Health Center,Government/Public Entity
Obuya Health Centre,-0.5326297,34.6035751,Level 2,Homa Bay,Rangwe,Kagan,open,Health Center,Government/Public Entity
Nyambare Health Centre,-0.5574836,34.5688954,Level 3,Homa Bay,Rangwe,East Gem,open,Health Center,Government/Public Entity
Nduga Health Centre,-0.5790923,34.5567249,Level 2,Homa Bay,Rangwe,West Gem,open,Health Center,Government/Public Entity
Kisumu Police Line Dispensary,-0.1016967,34.7580133,Level 2,Kisumu,Kisumu Central,Market Milimani,open,Dispensary,Government/Public Entity
Kapteldet Dispensary,0.454387,35.2180208,Level 2,Uasin Gishu,Kapseret,Simat/Kapseret,open,Dispensary,Government/Public Entity
Best Healthlife Clinic,0.4839949,35.261147,Level 2,Uasin Gishu,Kapseret,Kipkenyo,open,Medical Clinic,Private
Kipkonyo Dispensary,-0.7628646,36.2205809,Level 2,Nakuru,Naivasha,Maeilla,open,Dispensary,Government/Public Entity
Kapket Dispensary,-0.5215362,35.6321578,Level 2,Nakuru,Kuresoi South,Tinet,open,Dispensary,Government/Public Entity
Ainamoi Dispensary,-0.5480985,35.6612687,Level 2,Nakuru,Kuresoi South,Kiptagich,open,Dispensary,Government/Public Entity
Nasira Dispensary,0.4484056,34.2089535,Level 2,Busia,Matayos,Busibwabo,open,Dispensary,Government/Public Entity
Machinery Health Care Centre,-2.5268563,38.0346581,Level 3,Makueni,Kibwezi East,Thange,open,Medical Center,Private
Kinyambu Dispensary,-2.4604053,38.0132303,Level 2,Makueni,Kibwezi East,Thange,open,Dispensary,Government/Public Entity
Riakithiga Dispensary,-0.5236397,37.3109108,Level 2,Kirinyaga,Kirinyaga East,Kabare,open,Dispensary,Government/Public Entity
Green Cross Medical Clinic,-1.3149736,36.7965348,Level 2,Nairobi,Langata,Mugumo-ini,open,Health Center,Private
Frontier Health Services Malaba,0.6375698,34.2691048,Level 2,Busia,Teso North,Malaba Central,open,Stand-Alone service,Government/Public Entity
Eshiabwali Health Centre,0.1261581,34.6607555,Level 3,Kakamega,Khwisero,Kisa East,open,Health Center,Government/Public Entity
Ikomero Health Centre,0.1516853,34.5010608,Level 3,Kakamega,Khwisero,Kisa West,open,Health Center,Government/Public Entity
Queens & Kings Health Centre,-0.5785272,37.6344502,Level 3,Embu,Mbeere North,Nthawa,open,Hospital,Private
Gogo Dispensary,0.0949458,34.4270806,Level 2,Siaya,Gem,North Gem,open,Dispensary,Government/Public Entity
Good Samaritan Clinic,-1.0564504,36.7781032,Level 2,Kiambu,Githunguri,Githunguri,open,Medical Clinic,Non-Governmental Organization
Lea Toto Kawangware,-1.2880244,36.7389914,Level 2,Nairobi,Dagoretti South,Riruta,open,Dispensary,Faith Based
Gionsaria Health Centre,-0.8805798,34.8335082,Level 3,Kisii,Bobasi,Bassi Bogetaorio,open,Health Center,Government/Public Entity
Kiobegi Dispensary (Nyamache),-0.8444236,34.7975365,Level 2,Kisii,Bobasi,Masige East,open,Dispensary,Government/Public Entity
Catmag Medical Centre,-1.1750988,36.7553331,Level 2,Kiambu,Kiambaa,Karuri,open,Medical Clinic,Private
Medlink Medical Clinic,-1.1717386,36.841669,Level 2,Kiambu,Kiambu Town,Riabai,open,Medical Clinic,Private
Ndelekeni Dispensary,-1.0498058,37.7731844,Level 2,Machakos,Masinga,Kivaa,open,Dispensary,Government/Public Entity
Mikuyuni Dispensary,-1.0520108,37.7065835,Level 2,Machakos,Masinga,Masinga Central,open,Dispensary,Government/Public Entity
Kwamaiko Health Clinic,-1.0902614,36.8644744,Level 2,Kiambu,Githunguri,Ngewa,open,Medical Clinic,Private
Magwaland Healthcare (Nyamira),-0.4858826,35.0225975,Level 3,Nyamira,NA,Magwagwa,open,Health Center,Private
Got Kachola Dispensary,-0.9604398,34.1438746,Level 2,Migori,Nyatike,Got Kachola,open,Dispensary,Government/Public Entity
DICE Clinic Karungu,-0.8453669,34.1551617,Level 2,Migori,Nyatike,Kachien'g,open,Medical Clinic,Private
DICE Clinic Muhuru,-0.998006,34.1007201,Level 2,Migori,Nyatike,Muhuru,open,Medical Clinic,Private
Yoonye Dispensary (Kitui),-1.1749188,38.2119994,Level 2,Kitui,NA,Mutitu kaliku ward,open,Dispensary,Government/Public Entity
Mutonya Dispensary,-1.1803342,37.0062963,Level 2,Kiambu,Ruiru,Gatongora,open,Dispensary,Government/Public Entity
Kisovo Dispensary,-1.0871267,38.1247617,Level 2,Kitui,Mwingi West,Migwani,open,Dispensary,Government/Public Entity
Itendeu Dispensary,-0.8208509,38.0263071,Level 2,Kitui,Mwingi West,Kiomo/Kyethani,open,Dispensary,Government/Public Entity
Rotu Dispensary,1.4341132,35.9373978,Level 2,Baringo,East Pokot,Kolowa,open,Dispensary,Faith Based
Nkaroni Dispensary,0.9440439,37.1930895,Level 2,Samburu,Samburu East,Wamba West,open,Dispensary,Government/Public Entity
Kiltamany Dispensary,0.6442976,37.4750933,Level 2,Samburu,Samburu East,Wamba West,open,Dispensary,Government/Public Entity
Ndonyo Nasipa Dispensary,1.3268915,37.1218235,Level 2,Samburu,Samburu East,Wamba North,open,Dispensary,Government/Public Entity
Wamba Integrated Medicare,0.9782106,37.3227805,Level 2,Samburu,Samburu East,Wamba East,open,Medical Clinic,Private
Newlight Medical Centre (Nairobi),-1.2540024,36.8977674,Level 3,Nairobi,NA,Dandora phase 2,open,Medical Center,Private
Hilac Medical Clinic-Habaswein,1.0151031,39.4896915,Level 2,Wajir,Wajir South,Habasswein,open,Stand-Alone service,Private
Checkpoint Royal Hope Medical Centre,0.5726683,34.738665,Level 2,Bungoma,Webuye East,Ndivisi,open,Medical Clinic,Private
Joy Medical Clinic-Chuka,-0.3342676,37.6485379,Level 2,Tharaka Nithi,Chuka,Karingani,open,Medical Clinic,Private
Gamba Medical Clinic,-2.2780953,40.1824892,Level 2,Tana River,Garsen,Garsen Central,open,Dispensary,Government/Public Entity
Heri Tana Medical Clinic,-2.4433513,40.1694625,Level 2,Tana River,Garsen,Garsen South,open,Medical Center,Private
Sister Medical Clinic,-0.3078136,36.0712441,Level 2,Nakuru,Nakuru East,Biashara,open,Medical Clinic,Private
Eufrets Nursing Home (Nairobi),-1.2757103,36.7518404,Level 2,Nairobi,NA,Gatana ward,open,Nursing Home,Private
AAR Gwh Health Care Ltd,-1.2946577,36.8091864,Level 2,Nairobi,Dagoretti North,Kilimani,open,Medical Clinic,Private
Menelik Chest Clinic (Adams),-1.2967002,36.7840063,Level 2,Nairobi,Dagoretti North,Kilimani,open,Medical Clinic,Private
Sakali Dispensary,0.3127104,34.7909405,Level 2,Kakamega,Lurambi,Mahiakalo,open,Dispensary,Government/Public Entity
Mbari ya Igi dispensary,-1.0633643,36.8581592,Level 2,Kiambu,Githunguri,Komothai,open,Dispensary,Government/Public Entity
Gathangari Dispensary,-1.0629171,36.7199867,Level 2,Kiambu,Githunguri,Githiga,open,Dispensary,Government/Public Entity
Kimathi Dispensary,-1.0846621,36.8359023,Level 2,Kiambu,Githunguri,Ngewa,open,Dispensary,Government/Public Entity
Chemalal Dispensary (Uasin gishu),0.565835,35.1959009,Level 2,Uasin Gishu,NA,Kamagut,open,Dispensary,Government/Public Entity
Jehovah Shalom Medical Clinic Lodwar,3.118174,35.596325,Level 2,Turkana,Turkana Central,Lodwar Township,open,Medical Clinic,Private
Holland Heath Clinic,-1.5337436,37.1318073,Level 2,Machakos,Athi River,Kinanie,open,Medical Clinic,Private
Kiasoob Medical  Clinic (Baringo),0.0170251,36.0975601,Level 2,Baringo,NA,Kisanana,open,Medical Clinic,Private
Tumaini Medical Centre-Komothai,-1.029415,36.8078263,Level 2,Kiambu,Lari,Kamburu,open,Medical Clinic,Private
Ilatu Health Centre (Makindu),-2.3571221,37.8505827,Level 3,Makueni,Kibwezi West,Nguumo,open,Health Center,Government/Public Entity
Kavete Dispensary,-2.1572962,37.7743286,Level 2,Makueni,Kibwezi West,Makindu,open,Dispensary,Government/Public Entity
Hylax l Clinic (Masaba North),-0.7749333,34.9451733,Level 2,Kisii,Masaba North,Rigoma,open,Medical Center,Private
Egetuki GOK Dispensary,-0.7715533,34.7187383,Level 2,Kisii,Bomachoge Chache,Majoge Basi,open,Dispensary,Government/Public Entity
Masokani Dispensary,-1.9140146,37.425359,Level 2,Makueni,Kilome,Kasikeu,open,Dispensary,Government/Public Entity
Isumba Dispensary,0.2423305,34.6396485,Level 2,Kakamega,Lurambi,Butsotso South,open,Dispensary,Government/Public Entity
Kathathani Medical Clinic,-0.3811661,37.6953821,Level 2,Tharaka Nithi,Chuka,Mugwe,open,Medical Clinic,Private
Wema Private Clinic,-2.2102237,40.1781601,Level 2,Tana River,Garsen,Garsen North,open,Medical Clinic,Private
Karatina Model Health Centre,-0.9956261,36.752541,Level 3,Kiambu,Lari,Nyanduma,open,Health Center,Government/Public Entity
The Itotia Medical Clinic,-0.9853396,36.6308681,Level 2,Kiambu,Lari,Kijabe,open,Medical Clinic,Private
Lolupe Dispensary (Turkana Central),3.102743,35.6846202,Level 2,Turkana,Turkana Central,Kanamkemer,open,Dispensary,Government/Public Entity
Kaapus Dispensary,3.1807333,35.3466517,Level 2,Turkana,Loima,Turkwel,open,Dispensary,Government/Public Entity
Mailisaba Dispensary,0.9513796,35.068249,Level 2,Trans Nzoia,Kiminini,Sirende,open,Dispensary,Government/Public Entity
Mee Like Majengo,-4.0498647,39.6597249,Level 2,Mombasa,Mvita,Majengo,open,Medical Clinic,Private
Tian Dispensary,0.2492054,35.8098596,Level 2,Baringo,Mogotio,Emining,open,Dispensary,Government/Public Entity
Kimngorom Dispensary,0.1661498,35.8174374,Level 2,Baringo,Mogotio,Mogotio,open,Dispensary,Government/Public Entity
Kabogor Dispensary,0.1923392,35.8549117,Level 2,Baringo,Mogotio,Emining,open,Dispensary,Government/Public Entity
Rosoga Dispensary,0.1026435,35.8572036,Level 2,Baringo,Mogotio,Mogotio,open,Dispensary,Government/Public Entity
Kimose Dispensary,0.2256573,35.896455,Level 2,Baringo,Mogotio,Emining,open,Dispensary,Government/Public Entity
Emsos Dispensary,0.1613551,36.1001397,Level 2,Baringo,Mogotio,Kisanana,open,Dispensary,Government/Public Entity
Kiptoim Dispensary,0.039976,35.8469768,Level 2,Baringo,Mogotio,Mogotio,open,Dispensary,Government/Public Entity
Mama Nursing Home,-1.0832754,34.4392266,Level 2,Migori,Suna West,Waseweta II,open,Medical Center,Private
Maliera SDA Dispensary,0.1077861,34.453505,Level 2,Siaya,Gem,North Gem,open,Dispensary,Faith Based
Bygrace Medical Clinic,-1.0130792,36.9056337,Level 2,Kiambu,Gatundu South,Ngenda,open,Medical Clinic,Private
Raytons Family Medical Centre,0.6095959,34.7700875,Level 2,Bungoma,Webuye East,Mihuu,open,Medical Clinic,Private
Isbania Prevention Centre,-1.239052,34.4791442,Level 2,Migori,Kuria West,Isibania,open,Stand-Alone service,Non-Governmental Organization
Otieno Owala Health Cetre,-0.0356026,34.5200033,Level 3,Kisumu,Seme,North Seme,open,Health Center,Government/Public Entity
Ndenderu Dispensary,-1.1899784,36.738403,Level 2,Kiambu,Kiambaa,Ndenderu,open,Dispensary,Government/Public Entity
Kitere Minhaj Dispensary,-1.95934,40.1488821,Level 2,Tana River,Garsen,Garsen North,open,Dispensary,Government/Public Entity
Shalom Reru Medical Clinic,-0.1117703,34.453247,Level 2,Kisumu,Seme,West Seme,open,Medical Clinic,Private
Aina Dispensary,0.1152355,37.7132275,Level 2,Meru,Tigania West,Nkomo,open,Dispensary,Faith Based
Mithikwani Dispensary,-1.2624101,37.7989842,Level 2,Kitui,Kitui West,Kwamutonga/Kithumula,open,Dispensary,Government/Public Entity
Mmangani Dispensary,-3.1909799,40.0178367,Level 2,Kilifi,Malindi,Kakuyuni,open,Dispensary,Government/Public Entity
St Mathews Kandaria Dispensary,-0.125913,34.4153345,Level 2,Siaya,Rarieda,East Asembo,open,Dispensary,Government/Public Entity
Nyayiera Dispensary (Rarieda),-0.1052172,34.3831032,Level 2,Siaya,Rarieda,East Asembo,open,Dispensary,Government/Public Entity
Emukaba Dispensary,0.3424508,34.7634831,Level 2,Kakamega,Lurambi,Butsotso East,open,Dispensary,Government/Public Entity
Sisokhe Dispensary,0.4330003,34.611781,Level 2,Kakamega,Navakholo,Bunyala West,open,Dispensary,Government/Public Entity
Butingo Dispensary,0.3558919,34.6353678,Level 2,Kakamega,Navakholo,Bunyala West,open,Dispensary,Government/Public Entity
Kisembe Dispensary,0.4037711,34.6476946,Level 2,Kakamega,Navakholo,Bunyala West,open,Dispensary,Government/Public Entity
Natunyi Dispensary,0.4659527,34.7415584,Level 2,Kakamega,Navakholo,Bunyala East,open,Dispensary,Government/Public Entity
Churo Health Centre,0.7730465,36.3915933,Level 3,Baringo,Tiaty East,Churo/Amaya,open,Health Center,Government/Public Entity
Lomuke Dispensary,0.7353523,36.1642963,Level 2,Baringo,Tiaty East,Tangulbei/Korossi,open,Dispensary,Government/Public Entity
MSF Lavender House Clinic,-1.2660403,36.8523016,Level 2,Nairobi,Kamukunji,Airbase,open,Dispensary,Non-Governmental Organization
Oasis Doctors Plaza Medical Centre (Migori),-1.0677857,34.4705172,Level 2,Migori,Suna West,Ragana-oruba,open,Medical Center,Private
Murkwijit Dispensary,1.1922884,35.0916051,Level 2,West Pokot,West Pokot,Mnagei,open,Dispensary,Government/Public Entity
Nasha Lengot Medical Centre,-1.0751907,35.8650571,Level 2,Narok,Narok North,Narok Town,open,Medical Clinic,Private
Talau Dispensary,1.2033698,35.1084026,Level 2,West Pokot,West Pokot,Siyoi,open,Dispensary,Government/Public Entity
Drop In Service Centre,-4.0634459,39.6665465,Level 2,Mombasa,Mvita,Shimanzi/Ganjoni,open,Stand-Alone service,Non-Governmental Organization
Aga Khan Medical Clinic (laikipia east),0.0101845,37.0752149,Level 2,Laikipia,Laikipia East,Nanyuki,open,Medical Clinic,Private
Nkarini Diagnostic Medical Centre,-0.246824,37.8784716,Level 2,Tharaka Nithi,Tharaka South,Chiakagira,open,Medical Clinic,Private
Post Bank Staff Clinic,-1.2842538,36.8196448,Level 2,Nairobi,Starehe,Nairobi Central,open,Medical Clinic,Government/Public Entity
Quebee Health Care,-0.2917996,36.0525261,Level 2,Nakuru,Nakuru West,Shaabab,open,Medical Clinic,Private
Osewre Dispensary,-0.1335724,34.4444425,Level 2,Kisumu,Seme,West Seme,open,Dispensary,Government/Public Entity
Kabati Medicare Health Services Nursing Home,-1.228588,37.9152239,Level 3,Kitui,Kitui West,Kauwi,open,Medical Center,Private
Thim Jope Dispensary,-1.0161557,34.5601712,Level 2,Migori,Uriri,East Kanyamkago,open,Dispensary,Government/Public Entity
Wangiya Dispensary,-0.8895842,34.4780986,Level 2,Migori,Uriri,North Kanyamkago,open,Dispensary,Government/Public Entity
Nyasoko Dispensary,-0.9942114,34.4713156,Level 2,Migori,Uriri,South Kanyamkago,open,Dispensary,Government/Public Entity
Lyson Manyatta Medical and Laboratory Services LTD,0.3719468,34.9111532,Level 2,Kakamega,Shinyalu,Isukha North,open,Medical Center,Private
Kasarani VCT,-0.2954401,36.0677257,Level 2,Nakuru,Nakuru East,Biashara,open,Stand-Alone service,Government/Public Entity
Kiwawa GOK Dispensary,2.0167073,35.0188911,Level 2,West Pokot,Pokot North,Kiwawa,open,Dispensary,Government/Public Entity
Kanyerus Dispensary,1.3604783,34.8057088,Level 2,West Pokot,KACHELIBA,Suam,open,Dispensary,Government/Public Entity
Dr Barnados House clinic,-1.3142026,36.8141007,Level 2,Nairobi,Langata,Nairobi West,open,Medical Clinic,Faith Based
Solid Base Medical Centre (Transnzoia),0.8937561,34.9244823,Level 2,Trans Nzoia,NA,Nabiswa,open,Medical Center,Private
Mwangaza ulio Na Tumaini clinic,-1.2510688,36.8919042,Level 2,Nairobi,Ruaraka,Korogocho,open,Health Center,Faith Based
