"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".matched_county",".county_match"
"Kabati Medical Clinic",-0.9524023,37.109178,"Level 2","Muranga","muranga south","Kimorori/Wempa","open","Medical Clinic","Private",176,"Muranga",TRUE
"Amalilab Diagnostic Services (Nairobi)",-1.2896251,36.7381836,"Level 2","Nairobi",NA,"Riruta","open","Stand-Alone service","Private",177,"Nairobi",TRUE
"Kagaa Health Centre",-1.0283186,36.7086116,"Level 3","Kiambu","Lari","Kamburu","open","Medical Center","Government/Public Entity",178,"Kiambu",TRUE
"Kagere Dispensary",-0.5061684,36.9484158,"Level 2","Nyeri","Nyeri South","Mahiga","open","Dispensary","Government/Public Entity",179,"Nyeri",TRUE
"Kagicha Dispensary",-0.6003081,36.9019607,"Level 2","Nyeri","Nyeri South","Chinga","open","Dispensary","Government/Public Entity",180,"Nyeri",TRUE
"Kagio Catholic Dispensary (Mary Immucate Catholic Dispensary)",-0.6223017,37.2536783,"Level 2","Kirinyaga","Kirinyaga West","Kiine","open","Dispensary","Faith Based",181,"Kirinyaga",TRUE
"Kagio Hospital",-0.6306401,37.2501734,"Level 3","Kirinyaga","Kirinyaga West","Kiine","open","Hospital","Private",182,"Kirinyaga",TRUE
"Kagonye Dispensary",-0.5228251,36.9112639,"Level 2","Nyeri","Nyeri South","Mahiga","open","Dispensary","Government/Public Entity",183,"Nyeri",TRUE
"Kagumo Health Centre",-0.4740749,37.2372303,"Level 3","Kirinyaga","Kirinyaga Central","Mutira","open","Health Center","Government/Public Entity",184,"Kirinyaga",TRUE
"Kagumo Live Giving Dispensary/Laboratory",-0.4725713,37.2381031,"Level 2","Kirinyaga","Kirinyaga Central","Mutira","open","Dispensary","Faith Based",185,"Kirinyaga",TRUE
"Kagumoini Dispensary (Muranga North)",-0.6199633,36.9875867,"Level 2","Muranga","Mathioya","Kiru","open","Dispensary","Government/Public Entity",186,"Muranga",TRUE
"Joeroyal Medical Centre (Samburu Central)",1.0988322,36.6991546,"Level 2","Samburu",NA,"Maralal","open","Medical Clinic","Private",187,"Samburu",TRUE
"Kagumoini Dispensary (Muranga South)",-0.8972717,37.0717856,"Level 2","Muranga","Kandara","Gaichanjiru","open","Dispensary","Government/Public Entity",188,"Muranga",TRUE
"Kaguthi Dispensary",-0.8787825,36.9578118,"Level 2","Muranga","Kandara","Ithiru","open","Dispensary","Government/Public Entity",189,"Muranga",TRUE
"Kagwe Dispensary",-1.0035861,36.7367382,"Level 2","Kiambu","Lari","Nyanduma","open","Dispensary","Government/Public Entity",190,"Kiambu",TRUE
"Kagwe Health Services Clinic",-1.0033373,36.7435091,"Level 2","Kiambu","Lari","Nyanduma","open","Medical Center","Private",191,"Kiambu",TRUE
"Kaharo Dispensary",-0.7985847,37.0614254,"Level 2","Muranga","muranga south","Nginda","open","Dispensary","Government/Public Entity",192,"Muranga",TRUE
"Kahembe Health Centre",0.0246429,36.4536276,"Level 3","Nyandarua","Ndaragwa","Kiritta","open","Health Center","Government/Public Entity",193,"Nyandarua",TRUE
"Kaheti Dispensary & Maternity",-0.5322684,37.058875,"Level 2","Nyeri","Mukurweini","Mukurwe-ini West","open","Dispensary","Faith Based",194,"Nyeri",TRUE
"Kahiga Dispensary",-0.4375572,37.0424334,"Level 2","Nyeri","Nyeri Central","Kiganjo/Mathari","open","Dispensary","Government/Public Entity",195,"Nyeri",TRUE
"Kahuho Private Dispensary",-1.21192,36.6745933,"Level 2","Kiambu","Kabete","Muguga","open","Medical Clinic","Private",196,"Kiambu",TRUE
"Kahuru Dispensary (Nyandarua South)",-0.589739,36.5325457,"Level 2","Nyandarua","Kinangop","Engineer","open","Dispensary","Government/Public Entity",197,"Nyandarua",TRUE
"Kahuru Dispensary (Nyeri North)",-0.4583767,37.1606695,"Level 2","Nyeri","Mathira East","Iriaini","open","Dispensary","Government/Public Entity",198,"Nyeri",TRUE
"Kahuti Medical Clinic",-0.692822,36.9680756,"Level 2","Muranga","Kiharu","Wangu","open","Medical Clinic","Private",199,"Muranga",TRUE
"Kaimbaga Dispensary",-0.3881185,36.3854524,"Level 2","Nyandarua","Olkalou","Kaimbaga","open","Dispensary","Government/Public Entity",200,"Nyandarua",TRUE
"Kairini Dispensary",-0.5444288,37.1692479,"Level 2","Kirinyaga","Kirinyaga West","Kiine","open","Dispensary","Government/Public Entity",201,"Kirinyaga",TRUE
"Kairo Dispensary",-0.608451,36.8685296,"Level 2","Muranga","Mathioya","Kiru","open","Dispensary","Government/Public Entity",202,"Muranga",TRUE
"Kairuthi Dispensary",-0.5333817,36.8891667,"Level 2","Nyeri","Nyeri South","Iria-ini","open","Dispensary","Government/Public Entity",203,"Nyeri",TRUE
"Kaiyaba Dispensary",-0.4744003,37.0867012,"Level 2","Nyeri","Mathira West","Kirimukuyu","open","Dispensary","Government/Public Entity",204,"Nyeri",TRUE
"Kanjinji Dispensary",-0.6116809,37.4086063,"Level 2","Kirinyaga","Kirinyaga South","Murinduko","open","Dispensary","Government/Public Entity",205,"Kirinyaga",TRUE
"Kakuzi Limited Dispensary",-0.9707583,37.2767945,"Level 2","Muranga","Gatanga","Kakuzi/Mitubiri","open","Medical Center","Private",206,"Muranga",TRUE
"Kamae Forest Dispensary",-0.8506256,36.6050942,"Level 2","Kiambu","Lari","Kinale","open","Dispensary","Government/Public Entity",207,"Kiambu",TRUE
"Kamahuha Dispensary",-0.8455432,37.1786918,"Level 2","Muranga","muranga south","Kamahuha","open","Dispensary","Government/Public Entity",208,"Muranga",TRUE
"Kambirwa Health Centre",-0.7438181,37.1963867,"Level 3","Muranga","Kiharu","Mbiri","open","Health Center","Government/Public Entity",209,"Muranga",TRUE
"Kambiti Health Centre",-0.8313244,37.2346527,"Level 3","Muranga","muranga south","Kambiti","open","Health Center","Government/Public Entity",210,"Muranga",TRUE
"Kambui (PCEA) Dispensary",-1.1009084,36.8626873,"Level 2","Kiambu","Githunguri","Ngewa","open","Dispensary","Faith Based",211,"Kiambu",TRUE
"Kamburaini Dispensary",-0.206085,37.0979367,"Level 2","Nyeri","Kieni East","Naromoru/Kiamathaga","open","Dispensary","Government/Public Entity",212,"Nyeri",TRUE
"Kamburu (PCEA) Dispensary",-1.0285318,36.7401386,"Level 2","Kiambu","Lari","Kamburu","open","Dispensary","Faith Based",213,"Kiambu",TRUE
"Kamfas Clinic",-0.611015,37.202555,"Level 2","Kirinyaga","Kirinyaga West","Kariti","open","Medical Clinic","Private",214,"Kirinyaga",TRUE
"Kamoko Health Centre",-0.5224757,36.9094583,"Level 3","Nyeri","Nyeri South","Mahiga","open","Health Center","Government/Public Entity",215,"Nyeri",TRUE
"Kamukabi Medical Clinic",-0.7846689,36.8687275,"Level 2","Muranga","Kigumo","Kangari","open","Medical Clinic","Private",216,"Muranga",TRUE
"Kamumo Medical Clinic",-0.4948838,37.3509378,"Level 2","Kirinyaga","Kirinyaga East","Baragwi","open","Medical Clinic","Private",217,"Kirinyaga",TRUE
"Baraka Gatuya Medical Clinic (MURANGA)",-0.7404806,36.9659584,"Level 2","Muranga",NA,"MUGOIRI","open","Medical Clinic","Private",218,"Muranga",TRUE
"Kamweti Dispensary",-0.414261,37.3139424,"Level 2","Kirinyaga","Kirinyaga East","Kabare","open","Dispensary","Government/Public Entity",219,"Kirinyaga",TRUE
"Kanderendu Dispensary",-0.7843076,36.8157104,"Level 2","Muranga","Kigumo","Kangari","open","Dispensary","Government/Public Entity",220,"Muranga",TRUE
"Kandongu Dispensary",-0.6658147,37.2946626,"Level 2","Kirinyaga","Kirinyaga North/Mwea West","Mutithi","open","Dispensary","Government/Public Entity",221,"Kirinyaga",TRUE
"Kangaita Health Centre",-0.4249819,37.272005,"Level 3","Kirinyaga","Kirinyaga Central","Inoi","open","Health Center","Government/Public Entity",222,"Kirinyaga",TRUE
"Kangari Health Centre",-0.7847204,36.8675565,"Level 3","Muranga","Kigumo","Kangari","open","Health Center","Government/Public Entity",223,"Muranga",TRUE
"Kangaru Dispensary (Kirinyaga)",-0.6357023,37.2448116,"Level 2","Kirinyaga","Kirinyaga West","Kiine","open","Dispensary","Government/Public Entity",224,"Kirinyaga",TRUE
"Kangema Medical Clinic",-0.6870855,36.9721736,"Level 2","Muranga","Kangema","Muguru","open","Medical Clinic","Private",225,"Muranga",TRUE
"Kangu Dispensary",-0.5707909,37.356616,"Level 2","Kirinyaga","Kirinyaga South","Nyangati","open","Dispensary","Government/Public Entity",226,"Kirinyaga",TRUE
"Kanjama Dispensary",-0.6187435,36.9502553,"Level 2","Muranga","Mathioya","Kiru","open","Dispensary","Government/Public Entity",227,"Muranga",TRUE
"Kanjuiri Dispensary",-0.3620579,36.2842291,"Level 2","Nyandarua","Olkalou","Kanjuiri Range","open","Medical Center","Government/Public Entity",228,"Nyandarua",TRUE
"Kanyenyaini Health Centre",-0.68678,36.8925317,"Level 3","Muranga","Kangema","Kanyenya-ini","open","Health Center","Government/Public Entity",229,"Muranga",TRUE
"Karaba Health Centre (Nyeri South)",-0.6272642,37.1061206,"Level 3","Nyeri","Mukurweini","Gikondi","open","Health Center","Government/Public Entity",230,"Nyeri",TRUE
"Karangatha Health Centre",-0.771171,36.6470098,"Level 3","Nyandarua","Kinangop","Nyakio","open","Health Center","Government/Public Entity",231,"Nyandarua",TRUE
"Karangi Dispensary",-0.8309673,36.7985771,"Level 2","Muranga","Gatanga","Kariara","open","Health Center","Government/Public Entity",232,"Muranga",TRUE
"Karangia Medical Clinic",-0.4972852,36.9039261,"Level 2","Nyeri","Tetu","Wamagana","open","Medical Clinic","Private",233,"Nyeri",TRUE
"Karatina Catholic Dispensary",-0.4819655,37.1218295,"Level 2","Nyeri","Mathira East","Karatina Town","open","Dispensary","Faith Based",234,"Nyeri",TRUE
"Karatu level 4 hospital",-0.9454644,36.8272656,"Level 3","Kiambu","Gatundu South","Ndarugu","open","Hospital","Government/Public Entity",235,"Kiambu",TRUE
"Karemeno Health Centre",-0.1414829,36.7714188,"Level 3","Nyeri","Kieni West","Mugunda","open","Health Center","Government/Public Entity",236,"Nyeri",TRUE
"Karia Health Centre",-1.1033917,36.8194387,"Level 3","Kiambu","Githunguri","Ikinu","open","Health Center","Government/Public Entity",237,"Kiambu",TRUE
"Kariko Dispensary (Nyeri South)",-0.5769282,36.8806442,"Level 2","Nyeri","Nyeri South","Chinga","open","Dispensary","Government/Public Entity",238,"Nyeri",TRUE
"Karima Dispensary (Nyeri South)",-0.5196858,36.9799162,"Level 2","Nyeri","Nyeri South","Karima","open","Dispensary","Government/Public Entity",239,"Nyeri",TRUE
"Karirana Estate Limited Medical Clinic",-1.0882942,36.69586,"Level 2","Kiambu","Limuru","Limuru East","open","Medical Clinic","Private",240,"Kiambu",TRUE
"Kariti Dispensary",-0.8685005,37.0177923,"Level 2","Muranga","Kandara","Kagundu-ini","open","Dispensary","Government/Public Entity",241,"Muranga",TRUE
"Kariua Dispensary",-0.8330612,36.9764772,"Level 2","Muranga","Kandara","Gaichanjiru","open","Dispensary","Government/Public Entity",242,"Muranga",TRUE
"Karumandi Health Centre",-0.4478276,37.34941,"Level 3","Kirinyaga","Kirinyaga East","Karumandi","open","Health Center","Government/Public Entity",243,"Kirinyaga",TRUE
"Karundu Dispensary",-0.5746205,37.0937543,"Level 2","Nyeri","Mukurweini","Rugi","open","Dispensary","Government/Public Entity",244,"Nyeri",TRUE
"Karure Medical Clinic",-0.9726207,36.9293087,"Level 2","Kiambu","Gatundu North","Mang'u","open","Medical Clinic","Private",245,"Kiambu",TRUE
"Kasuku Health Centre",-0.1345747,36.3777812,"Level 3","Nyandarua","Oljoroorok","Weru","open","Health Center","Government/Public Entity",246,"Nyandarua",TRUE
"Kenton Dispensary",-0.8967282,36.5579397,"Level 2","Nyandarua","Kinangop","Magumu","open","Dispensary","Government/Public Entity",247,"Nyandarua",TRUE
"Kenya Nut Company Clinic",-1.0495814,37.0966354,"Level 2","Kiambu","Thika Town","Hospital","open","Dispensary","Private",248,"Kiambu",TRUE
"Kenya Police College Dispensary",-0.3935689,37.0004493,"Level 2","Nyeri","Nyeri Central","Kiganjo/Mathari","open","Dispensary","Government/Public Entity",249,"Nyeri",TRUE
"Mary Immaculate Kerugoya Hospital",-0.4980185,37.2790824,"Level 2","Kirinyaga","Kirinyaga Central","Kerugoya","open","Hospital","Faith Based",250,"Kirinyaga",TRUE
"Kerugoya Medical Centre",-0.5029949,37.2788096,"Level 2","Kirinyaga","Kirinyaga Central","Kerugoya","open","Medical Clinic","Private",251,"Kirinyaga",TRUE
"Khilna Medical Clinic",-1.0358244,37.0762403,"Level 2","Kiambu","Thika Town","Township","open","Medical Clinic","Private",252,"Kiambu",TRUE
"Kiahuria Medical Clinic",-1.2219483,36.7173017,"Level 2","Kiambu","Kabete","Kabete","open","Medical Clinic","Private",253,"Kiambu",TRUE
"Kiairathe Dispensary",-0.6706921,36.9475537,"Level 2","Muranga","Kangema","Muguru","open","Dispensary","Government/Public Entity",254,"Muranga",TRUE
"Kiairegi Clinic",-0.8547579,36.9061399,"Level 2","Muranga","Gatanga","Kariara","open","Medical Clinic","Private",255,"Muranga",TRUE
"Kiamabara Health Centre",-0.5179301,37.1137345,"Level 3","Nyeri","Mathira East","Konyu","open","Health Center","Government/Public Entity",256,"Nyeri",TRUE
"Kiamanyeki Dispensary",-0.6980438,37.3807371,"Level 2","Kirinyaga","Kirinyaga South","Tebere","open","Dispensary","Government/Public Entity",257,"Kirinyaga",TRUE
"Kiamara Health Centre",-0.6982482,37.0655963,"Level 3","Muranga","Kangema","Muguru","open","Health Center","Government/Public Entity",258,"Muranga",TRUE
"Diana Medical Clinic- Kieni East",-0.3590592,36.9990185,"Level 2","Nyeri","Kieni East","Thegu River","open","Medical Clinic","Private",259,"Nyeri",TRUE
"Kiamathaga Dispensary",-0.1555282,37.0873249,"Level 2","Nyeri","Kieni East","Naromoru/Kiamathaga","open","Dispensary","Government/Public Entity",260,"Nyeri",TRUE
"Kiambogo Dispensary (Nyandarua South)",-0.3920458,36.5413011,"Level 2","Nyandarua","Kipipiri","Geta","open","Dispensary","Private",261,"Nyandarua",TRUE
"Kiambogo Medical Clinic",-0.2022647,36.8171172,"Level 2","Nyeri","Kieni West","Mugunda","open","Medical Clinic","Private",262,"Nyeri",TRUE
"Kiambu Institute Of Science And Technology Dispensary",-1.1819815,36.8358007,"Level 2","Kiambu","Kiambu Town","Township","open","Medical Clinic","Government/Public Entity",263,"Kiambu",TRUE
"Kiamutugu Health Centre",-0.4682156,37.3908718,"Level 3","Kirinyaga","Kirinyaga East","Ngariama","open","Health Center","Government/Public Entity",264,"Kirinyaga",TRUE
"Kiamuya Dispensary",-0.5751317,36.959656,"Level 2","Nyeri","Nyeri South","Chinga","open","Dispensary","Government/Public Entity",265,"Nyeri",TRUE
"Kiamwathi Medical Clinic",-0.4479728,36.9602639,"Level 2","Nyeri","Nyeri Central","Ruring'u","open","Medical Center","Private",266,"Nyeri",TRUE
"Kiandere Dispensary",-0.454008,36.9075153,"Level 2","Nyeri","Tetu","Dedan Kimathi","open","Dispensary","Government/Public Entity",267,"Nyeri",TRUE
"Kiandu Medical Clinic",-0.4906383,36.9696603,"Level 2","Nyeri","Tetu","Wamagana","open","Medical Clinic","Private",268,"Nyeri",TRUE
"Kiang'ombe Dispensary",-0.4677817,37.2998728,"Level 2","Kirinyaga","Kirinyaga East","Kabare","open","Dispensary","Government/Public Entity",269,"Kirinyaga",TRUE
"Kiangai Health Centre",-0.4779948,37.1791006,"Level 3","Kirinyaga","Kirinyaga West","Kiine","open","Health Center","Government/Public Entity",270,"Kirinyaga",TRUE
"Kiangochi Dispensary",-0.7626458,37.127891,"Level 2","Muranga","Kiharu","Mbiri","open","Dispensary","Government/Public Entity",272,"Muranga",TRUE
"Kiangunyi Dispensary",-0.6947179,36.9902912,"Level 2","Muranga","Kangema","Muguru","open","Dispensary","Faith Based",273,"Muranga",TRUE
"Kianjege Dispensary",-0.5744083,37.165575,"Level 2","Kirinyaga","Kirinyaga West","Kariti","open","Dispensary","Government/Public Entity",274,"Kirinyaga",TRUE
"Kianyaga Catholic Health Centre",-0.4909851,37.3566952,"Level 3","Kirinyaga","Kirinyaga East","Baragwi","open","Health Center","Faith Based",275,"Kirinyaga",TRUE
"Kiaragana Dispensary",-0.4978381,37.1966024,"Level 2","Kirinyaga","Kirinyaga West","Mukure","open","Dispensary","Government/Public Entity",276,"Kirinyaga",TRUE
"Leben Medical Service-Busibwabo (Busia)",0.4066285,34.1994025,"Level 3","Busia",NA,"Busibwabo","open","Medical Center","Private",277,"Busia",TRUE
"Kibirigwi Health Centre",-0.5263317,37.1796483,"Level 3","Kirinyaga","Kirinyaga West","Kiine","open","Health Center","Government/Public Entity",278,"Kirinyaga",TRUE
"Kiburu Dispensary",-0.5409895,37.2073478,"Level 2","Kirinyaga","Kirinyaga West","Mukure","open","Dispensary","Government/Public Entity",279,"Kirinyaga",TRUE
"Kibutha Dispensary",-0.6951239,36.9182611,"Level 2","Muranga","Kangema","Kanyenya-ini","open","Dispensary","Government/Public Entity",280,"Muranga",TRUE
"Kibutha Medical Clinic",-0.6944657,36.9193474,"Level 2","Muranga","Kangema","Kanyenya-ini","open","Medical Clinic","Private",281,"Muranga",TRUE
"Kiganjo Health centre",-0.9852779,36.8317654,"Level 2","Kiambu","Gatundu South","Kiganjo","open","Health Center","Government/Public Entity",282,"Kiambu",TRUE
"Kigetuini Dispensary",-0.6519224,37.1539086,"Level 2","Muranga","Kiharu","Gaturi","open","Dispensary","Government/Public Entity",283,"Muranga",TRUE
"Kigoro Health Centre",-0.8559381,36.8878388,"Level 3","Muranga","Gatanga","Kariara","open","Health Center","Government/Public Entity",284,"Muranga",TRUE
"Roge Medical Centre (MURANG'A)",-0.740418,36.9655875,"Level 2","Muranga",NA,"MUGOIRI","open","Medical Clinic","Private",286,"Muranga",TRUE
"Kihinga Dispensary",-0.7446431,37.0547535,"Level 2","Muranga","Kiharu","Mugoiri","open","Medical Clinic","Private",287,"Muranga",TRUE
"Kihoya Health Centre",-0.6534567,36.8961583,"Level 3","Muranga","Kangema","Rwathia","open","Health Center","Government/Public Entity",288,"Muranga",TRUE
"Kihumbuini (PCEA) Dispensary",-0.9287784,36.9874567,"Level 2","Muranga","Gatanga","Kihumbu-ini","open","Dispensary","Faith Based",289,"Muranga",TRUE
"Kihumbu-ini Community Dispensary",-0.9292103,36.9886985,"Level 2","Muranga","Gatanga","Kihumbu-ini","open","Dispensary","Government/Public Entity",290,"Muranga",TRUE
"Kihuyo Dispensary",-0.384078,36.9059952,"Level 2","Nyeri","Nyeri Central","Kiganjo/Mathari","open","Dispensary","Government/Public Entity",291,"Nyeri",TRUE
"Akshar Nursing Home",-1.2491064,36.6634574,"Level 3","Kiambu","Kikuyu","Kikuyu","open","Nursing Home","Private",292,"Kiambu",TRUE
"Hope Medical Centre (Meru)",0.0459918,37.6530145,"Level 3","Meru",NA,"Municipality","open","Medical Center","Private",293,"Meru",TRUE
"Kimbimbi Medical Laboratory",-0.6197795,37.3661842,"Level 2","Kirinyaga","Kirinyaga South","Nyangati","open","Stand-Alone service","Private",294,"Kirinyaga",TRUE
"Kimende Orthodox Mission Health Centre",-0.9826359,36.6310201,"Level 3","Kiambu","Lari","Kijabe","open","Health Center","Government/Public Entity",295,"Kiambu",TRUE
"Kimunyu (PCEA) Dispensary",-1.0550803,36.9413073,"Level 2","Kiambu","Gatundu South","Ngenda","open","Dispensary","Faith Based",296,"Kiambu",TRUE
"Kinale Forest Dispensary",-0.9034534,36.6327936,"Level 2","Kiambu","Lari","Kinale","open","Dispensary","Government/Public Entity",297,"Kiambu",TRUE
"Kiria Health Centre",-0.7592517,37.0716854,"Level 3","Muranga","Kiharu","Mugoiri","open","Health Center","Government/Public Entity",298,"Muranga",TRUE
"Kiria-ini Dispensary",-0.6020109,36.9522185,"Level 2","Muranga","Mathioya","Kiru","open","Dispensary","Government/Public Entity",299,"Muranga",TRUE
"Kiriita Forest Dispensary",-0.9779141,36.6417433,"Level 2","Kiambu","Lari","Kijabe","open","Dispensary","Government/Public Entity",300,"Kiambu",TRUE
"Kirima Dispensary",-0.1941728,36.4848645,"Level 2","Nyandarua","Ndaragwa","Shamata","open","Dispensary","Government/Public Entity",301,"Nyandarua",TRUE
